ts_code,symbol,exchange,pre_close,event_close,event_high,event_low,price_change_pct,vol_change_pct,earliest_date,name
002445.SZ,002445,SZ,15.87,15.32,17.4,15.24,-3.4656584751102644,165.78011926083522,20170103,中南文化
002479.SZ,002479,SZ,10.88,10.75,10.94,10.65,-1.1948529411764777,-26.006336875626552,20170103,富春环保
002690.SZ,002690,SZ,18.54,19.04,19.08,18.27,2.696871628910464,65.28395140797153,20170103,美亚光电
002848.SZ,002848,SZ,21.39,20.4,21.39,19.86,-4.628330995792435,12.988407633447247,20170213,*ST高斯
300003.SZ,300003,SZ,23.41,24.12,24.13,22.88,3.0328919265271286,88.77408375167704,20170103,乐普医疗
000905.SZ,000905,SZ,13.4,13.23,13.6,13.11,-1.26865671641791,-15.560153182189715,20170103,厦门港务
002860.SZ,002860,SZ,49.64,54.5,57.2,48.03,9.790491539081385,75.79345584286389,20170412,星帅尔
000911.SZ,000911,SZ,10.38,10.51,10.75,10.36,1.2524084778419942,7.622590500246826,20170103,广农糖业
300017.SZ,300017,SZ,8.8,8.78,9.04,8.69,-0.22727272727274261,-17.45821898633556,20170103,网宿科技
002135.SZ,002135,SZ,7.83,7.92,7.96,7.7,1.14942528735632,-3.9248921932938794,20170103,东南网架
000722.SZ,000722,SZ,11.27,11.21,11.4,11.11,-0.5323868677905832,-35.01966861621037,20170103,湖南发展
002653.SZ,002653,SZ,13.24,13.53,13.68,12.98,2.1903323262839813,90.16896957865316,20170103,海思科
002647.SZ,002647,SZ,34.13,34.02,34.25,33.41,-0.32229709932610434,-13.110043348858769,20170103,*ST仁东
000050.SZ,000050,SZ,23.64,25.0,25.17,23.16,5.7529610829103195,8.521064895051088,20170323,深天马Ａ
000736.SZ,000736,SZ,15.31,15.8,16.55,15.15,3.200522534291314,-25.575838689398715,20170103,*ST中地
002121.SZ,002121,SZ,9.84,10.14,10.2,9.8,3.048780487804885,-2.152743088275434,20170103,科陆电子
002109.SZ,002109,SZ,7.57,7.95,8.19,7.52,5.019815059445177,115.4376222308438,20170103,兴化股份
000078.SZ,000078,SZ,6.15,6.06,6.18,6.04,-1.4634146341463534,-6.98987879009072,20170103,海王生物
002082.SZ,002082,SZ,14.54,14.55,14.88,14.46,0.06877579092160635,14.803511541306857,20170103,万邦德
300639.SZ,300639,SZ,53.2,53.19,54.5,52.21,-0.018796992481212624,-31.806640213997472,20170412,凯普生物
002096.SZ,002096,SZ,10.01,9.71,10.06,9.7,-2.9970029970029866,-20.201781782003504,20170103,易普力
000681.SZ,000681,SZ,18.97,19.98,20.6,18.71,5.324196099103857,185.76307528179058,20170103,视觉中国
000859.SZ,000859,SZ,4.78,4.82,4.82,4.73,0.836820083682009,-16.53774369181357,20170103,国风新材
300177.SZ,300177,SZ,11.31,11.51,11.64,11.25,1.7683465959327964,-1.4417910244111376,20170103,中海达
002900.SZ,002900,SZ,36.59,36.63,38.29,36.6,0.10931948619841254,14.680970199515109,20170922,哈三联
300611.SZ,300611,SZ,17.89,19.38,20.64,18.21,8.328675237562875,289.06113372709234,20170220,美力科技
300605.SZ,300605,SZ,33.99,35.08,35.43,33.61,3.2068255369226133,101.17654673632428,20170208,恒锋信息
300188.SZ,300188,SZ,18.3,19.58,20.32,18.6,6.9945355191256695,95.9562509293464,20170103,国投智能
002041.SZ,002041,SZ,12.69,12.53,12.75,12.46,-1.260835303388496,-42.681660474180354,20170103,登海种业
000656.SZ,000656,SZ,4.65,4.68,4.76,4.63,0.6451612903225669,-25.115868928207817,20170103,*ST金科
002727.SZ,002727,SZ,21.08,20.89,21.51,20.63,-0.9013282732447712,-23.46341064025993,20170105,一心堂
002733.SZ,002733,SZ,18.95,19.58,20.85,19.09,3.324538258575193,124.34848373334164,20170103,雄韬股份
002055.SZ,002055,SZ,22.18,23.54,23.54,22.19,6.131650135256986,30.953651537707273,20170103,ST得润
002069.SZ,002069,SZ,8.73,8.68,8.78,8.64,-0.5727376861397561,-12.115385558403846,20170103,獐子岛
300349.SZ,300349,SZ,33.16,35.1,35.36,32.88,5.850422195416179,49.34127374959547,20170103,金卡智能
002294.SZ,002294,SZ,37.55,38.8,38.98,36.47,3.3288948069241013,-6.720335786095621,20170103,信立泰
300375.SZ,300375,SZ,16.7,16.79,17.14,16.65,0.5389221556886219,-38.906664068451136,20170103,鹏翎股份
001979.SZ,001979,SZ,18.21,18.65,18.73,18.05,2.4162548050521564,25.312978722724132,20170103,招商蛇口
300407.SZ,300407,SZ,15.15,14.9,15.19,14.8,-1.65016501650165,-45.385210258295416,20170103,凯发电气
002243.SZ,002243,SZ,9.12,9.16,9.29,9.01,0.4385964912280803,-10.120175709587304,20170103,力合科创
002531.SZ,002531,SZ,6.28,6.6,6.95,6.25,5.095541401273875,130.29624750012715,20170103,天顺风能
002519.SZ,002519,SZ,7.41,7.31,7.57,7.27,-1.3495276653171462,-33.489745759851,20170103,银河电子
002518.SZ,002518,SZ,17.41,18.6,18.66,17.21,6.835152211372781,63.02734309602539,20170103,科士达
002530.SZ,002530,SZ,25.68,25.5,26.16,25.08,-0.7009345794392512,-24.232698267949388,20170103,金财互联
000333.SZ,000333,SZ,52.75,53.4,54.68,50.35,1.232227488151656,58.42023604713006,20170103,美的集团
002524.SZ,002524,SZ,6.91,6.65,6.95,6.6,-3.7626628075253223,-8.231953033036547,20170103,光正眼科
002242.SZ,002242,SZ,18.21,19.09,19.26,18.17,4.832509610104332,42.99443152697912,20170103,九阳股份
300360.SZ,300360,SZ,14.14,15.35,16.99,15.1,8.55728429985855,545.0114767919837,20170103,炬华科技
300406.SZ,300406,SZ,18.45,18.0,18.52,17.67,-2.439024390243899,-34.68572033402634,20170103,九强生物
300412.SZ,300412,SZ,12.3,12.18,12.35,12.0,-0.975609756097569,-14.331099742812356,20170103,迦南科技
300374.SZ,300374,SZ,21.42,21.3,21.79,21.15,-0.5602240896358589,-0.3806922186008171,20170103,中铁装配
002295.SZ,002295,SZ,12.92,12.88,13.01,12.81,-0.3095975232198076,-64.26641817109414,20170103,精艺股份
